location,lat,long
Ahaggo Museum,36.076336363402596,24.878609001212357
Abila Scrapyard,36.07482880502866,24.845542808840396
Bean There Done That,36.08202851740735,24.851160741361618
Albert’s Fine Clothing,36.07572876960479,24.8575535592196
Coffee Shack,36.07482880502866,24.860653108762026
Frank’s Fuels,36.07429596750259,24.839673410707118
Maximum Iron and Steel,36.06362925455475,24.83934370975554
Kronos Mart,36.066729130189,24.849029802075624
Roberts and Sons,36.063229268418546,24.852226213053466
General Grocer,36.061033388864644,24.85815299537921
Carly’s Coffee,36.05702951715003,24.859200195426226
Jack’s Magic Beans,36.06812907320506,24.872179558110712
Hallowed Grounds,36.06382924762285,24.885740085309983
Chostus Hotel,36.069029037781185,24.894166989213943
Frydo’s Autosupply n’ More,36.05909501371146,24.905784862349986
Brew’ve Been Served,36.056646536939326,24.90311668589449
Katerina’s Cafe,36.0560344166887,24.898966191007137
Guy’s Gyros,36.05889097221781,24.898867370871066
Abila Zacharo,NA,NA
Ouzeri Elian,36.05287180103429,24.87287736775708
Daily Dealz,NA,NA
Kronos Pipe and Irrigation,NA,NA
Gelatogalore,36.06052329147602,24.862204666032792
Stewart and Sons Fabrication,NA,NA
Coffee Cameleon,36.05562957413398,24.891067439671517
Nationwide Refinery,36.05654451407734,24.88621824593687
Carlyle Chemical Inc.,36.0599111712254,24.88285832033348
Brewed Awakenings,NA,NA
Hippokampos,36.051929723525745,24.87082350621033
U-Pump,36.068729050294195,24.86859570548892
Shoppers' Delight,36.06027649827016,24.905657104255678
Octavio's Office Supplies,36.058529456700136,24.85794100496125
GAStech,36.04788349351959,24.87969110956669
Abila Hospital,36.05672953177821,24.877991211453914
Desafio Golf Course,36.09252809584445,24.858715892346858
Cup o’ Joe,36.050629777043746,24.87963784766054
Abila Airport,NA,NA
Kalami Kafenion,36.06348252133789,24.85103199981928
